Args: self-attention-mnist-pgd-small-sim.onnx 0 0.012 linear | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.016 linear | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.02 linear | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.024 linear | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.032 linear | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.012 lse1 | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.016 lse1 | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.02 lse1 | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.024 lse1 | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.032 lse1 | Runtime: 2.26
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.012 lse2 | Runtime: 2.25
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.016 lse2 | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.02 lse2 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.024 lse2 | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.032 lse2 | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.012 er | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.016 er | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.02 er | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.024 er | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 0 0.032 er | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.012 linear | Runtime: 1.85
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.016 linear | Runtime: 1.84
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.02 linear | Runtime: 1.78
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.024 linear | Runtime: 1.84
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.032 linear | Runtime: 1.90
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.012 lse1 | Runtime: 1.78
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.016 lse1 | Runtime: 1.81
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.02 lse1 | Runtime: 1.79
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.024 lse1 | Runtime: 1.90
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.032 lse1 | Runtime: 1.90
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.012 lse2 | Runtime: 1.85
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.016 lse2 | Runtime: 1.83
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.02 lse2 | Runtime: 1.84
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.024 lse2 | Runtime: 1.85
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.032 lse2 | Runtime: 1.78
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.012 er | Runtime: 1.77
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.016 er | Runtime: 1.76
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.02 er | Runtime: 1.85
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.024 er | Runtime: 1.81
Args: self-attention-mnist-pgd-small-sim.onnx 1 0.032 er | Runtime: 1.86
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.012 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.016 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.02 linear | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.024 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.032 linear | Runtime: 2.42
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.012 lse1 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.016 lse1 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.02 lse1 | Runtime: 2.25
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.024 lse1 | Runtime: 2.26
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.032 lse1 | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.012 lse2 | Runtime: 2.25
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.016 lse2 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.02 lse2 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.024 lse2 | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.032 lse2 | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.012 er | Runtime: 2.39
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.016 er | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.02 er | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.024 er | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 2 0.032 er | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.012 linear | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.016 linear | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.02 linear | Runtime: 2.40
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.024 linear | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.032 linear | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.012 lse1 | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.016 lse1 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.02 lse1 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.024 lse1 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.032 lse1 | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.012 lse2 | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.016 lse2 | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.02 lse2 | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.024 lse2 | Runtime: 2.22
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.032 lse2 | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.012 er | Runtime: 2.40
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.016 er | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.02 er | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.024 er | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 3 0.032 er | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.012 linear | Runtime: 2.21
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.016 linear | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.02 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.024 linear | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.032 linear | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.012 lse1 | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.016 lse1 | Runtime: 2.40
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.02 lse1 | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.024 lse1 | Runtime: 2.26
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.032 lse1 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.012 lse2 | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.016 lse2 | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.02 lse2 | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.024 lse2 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.032 lse2 | Runtime: 2.26
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.012 er | Runtime: 2.41
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.016 er | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.02 er | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.024 er | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 4 0.032 er | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.012 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.016 linear | Runtime: 2.25
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.02 linear | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.024 linear | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.032 linear | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.012 lse1 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.016 lse1 | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.02 lse1 | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.024 lse1 | Runtime: 2.26
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.032 lse1 | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.012 lse2 | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.016 lse2 | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.02 lse2 | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.024 lse2 | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.032 lse2 | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.012 er | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.016 er | Runtime: 2.27
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.02 er | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.024 er | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 5 0.032 er | Runtime: 2.38
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.012 linear | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.016 linear | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.02 linear | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.024 linear | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.032 linear | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.012 lse1 | Runtime: 2.40
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.016 lse1 | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.02 lse1 | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.024 lse1 | Runtime: 2.30
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.032 lse1 | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.012 lse2 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.016 lse2 | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.02 lse2 | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.024 lse2 | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.032 lse2 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.012 er | Runtime: 2.23
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.016 er | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.02 er | Runtime: 2.24
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.024 er | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 6 0.032 er | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.012 linear | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.016 linear | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.02 linear | Runtime: 2.39
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.024 linear | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.032 linear | Runtime: 2.31
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.012 lse1 | Runtime: 2.35
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.016 lse1 | Runtime: 2.37
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.02 lse1 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.024 lse1 | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.032 lse1 | Runtime: 2.28
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.012 lse2 | Runtime: 2.26
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.016 lse2 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.02 lse2 | Runtime: 2.42
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.024 lse2 | Runtime: 2.34
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.032 lse2 | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.012 er | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.016 er | Runtime: 2.33
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.02 er | Runtime: 2.32
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.024 er | Runtime: 2.36
Args: self-attention-mnist-pgd-small-sim.onnx 7 0.032 er | Runtime: 2.29
Args: self-attention-mnist-pgd-small-sim.onnx 8 0.012 linear | Runtime: 1.85
